Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,Intérêts représentés,Sexe
COMMISSION NATIONALE DE L'INFORMATIQUE ET DES LIBERTÉS (CNIL),,SIGRIST,Geoffroy,Attaché parlementaire auprès du cabinet du président,Commission nationale de l'informatique et des libertés,H
CONFÉDÉRATION FRANÇAISE DES TRAVAILLEURS CHRÉTIENS,Entreprise privée,WANOU,Estelle,Chargée des relations extérieures,Confédération française des travailleurs chrétiens (CFTC),F
CONSEIL DE L'ORDRE DES EXPERTS-COMPTABLES,Organisation professionnelle,BOULLANGER,Hervé,Secrétaire général,,H
CONSEIL DU COMMERCE DE FRANCE,Organisation professionnelle,FAVOREL PIGE,Fanny,Secrétaire générale,Conseil du Commerce de France,F
CONSEIL NATIONAL DE L'ORDRE DES PHARMACIENS,Organisation professionnelle,LEBLANC,Hélène,"Chargée des affaires européennes et internationales, Secrétariat général",Conseil national de l'ordre des pharmaciens,F
CONSEIL NATIONAL DE L'ORDRE DES SAGES-FEMMES,Organisation professionnelle,PISANI,Lucas,Chargé de mission. Présidence de l'ordre,Conseil national de l'ordre des sages-femmes,H
CONSEIL NATIONAL DES BARREAUX,Organisation professionnelle,LOUIS-TREFOURET,Françoise,Responsable des relations institutionnelles,"GIE Conseil national des Barreaux, Barreau de Paris, Conférence des Bâtonniers",F
CONSEIL SUPERIEUR DU NOTARIAT,Organisation professionnelle,MANDELLI,Christine,Chargée des relations avec les institutions - Direction générale,Conseil supérieur du Notariat,F
COOP DE FRANCE,Organisation professionnelle,DE BRETTEVILLE,Irène,Responsable des Relations parlementaires auprès de la Direction générale,Confédération des entreprises coopératives agricoles,F
CREDIT AGRICOLE SA,Entreprise privée,BRUNEL,Jérôme,Directeur des affaires publiques - Direction générale,Crédit agricole SA,H
CSFL,Organisation professionnelle,GUICHARD,Emmanuel,Secrétaire général,Chambre syndicale française de la levure (CSFL),H
CSIAM,Société de conseil,ARCHAMBAULT,Thierry,Président délégué,Voiture : BMW/Chevrolet/Chrysler/Daihatsu/Ferrari/Fiat/Ford/General Motors/Honda/Hyundai/Jaguar Land Rover/Kia/Mazda/Mercedes-Benz/Mitsubishi/Nissan/Porsche/Ssangyond/Subaru/Suzuki/Toyota/Volkswagen/Volvo Aotos Véhicule industriel : DAF Trucks/Iveco/Mam/Man camions/Mercedes-Benz/Scania/Volvo Trucks Bus et car : Evobus/Past concept car/Iveco irisbus/Man Neoman/Scania/Van Hool/Volbus & Coach Moto : Aprilia/BMW/Ducati/Harley Davidson/Honda/Kawasaki/KTM/Kymcolux/Motana/Piaggi/Sidam/Sida Sidem/Suzuki/Triumph/yamaha,H
CSOEC,Organisation professionnelle,SALAMITO,Olivier,Secrétaire général adjoint,Conseil supérieur de l'ordre des experts-comptables CSOEC,H
DCNS,Entreprise majoritairement détenue par l'Etat,PERES,Rebecca,Directrice des Affaires publiques (rattachée à la direction générale),DCNS,F
DROITS DES NON FUMEURS (DNF),Association,LEQUET,Stephen,Responsable des relations institutionnelles,Droits des Non Fumeurs (DNF),H
DU PONT DE NEMOURS,Entreprise privée,KELLER,Michael,Directeur des relations institutionnelles,Du Pont de Nemours,H
EADS FRANCE,Entreprise privée,PERRIMOND DU BREUIL,Annick,Directeur des relations avec le Parlement,"EADS, société mère de : AIRBUS, EUROCOPTER, ASTRIUM, CASSIDIAN",F
EBAY FRANCE SA,Entreprise privée,GARAULT,Emmanuelle,"Directrice des affaires institutionnelles pour eBay France, rattachée au directeur général et à la directrice euroopéenne des affaires institutionnelles",eBay France,F
ECO-EMBALLAGES,Entreprise privée,NEYME,Ismaël,Directeur des relations institutionnelles,Eco-Emballages,H
EDENRED FRANCE,Entreprise privée,ROLAND-GOSSELIN,Diane,"Directrice des relations institutionnelles, rattachée à la direction générale",Edenred France,F
EDF,Organisme public,TROUVE,Gérard,,,H
EIFFAGE TRAVAUX PUBLICS,Entreprise privée,SPIROUX,Elie,Directeur délégué aux pouvoirs publics et collectivités locales,EIFFAGE Travaux publics,H
ENEL FRANCE,Entreprise privée,DOIN,Benoist,Directeur Affaires publiques,ENEL,H
ESSILOR FRANCE,Entreprise privée,THUOT-TAVERNIER,Sophie,responsable des affaires publiques - direction de la santé visuelle,Essilor France et Essilor International (zone Europe),F
FAIRVALUE CORPORATE & PUBLIC AFFAIRS,Société de conseil,HENAULT,Anne-Laure,Consultante en affaires publiques (département affaires publiques),"Fédération des Particuliers Employeurs de France, IPERIA l’Institut, Sorin Group, IFEC, ANACOFI ",F
FAIRVALUE CORPORATE & PUBLIC AFFAIRS,Société de conseil,HOMMEAU,Marie,Consultante en affaires publiques (département affaires publiques),"Fédération des Particuliers Employeurs de France, IPERIA l’Institut, Sorin Group, IFEC, ANACOFI ",F
FCD,Organisation professionnelle,PROUVOST,Fabienne,Directeur de la communication,Fédération des entreprises du commerce et de la distribution (FCD),F
FEDERATION DE L'HOSPITALISATION PRIVEE (FHP),Organisation professionnelle,FREMONDIERE,Anthony,Directeur du développement et de la vie institutionnelle,Fédération de l'hospitalisation privée,H
FEDERATION DES MAIRES DES VILLES MOYENNES,,GIBOURDEL,Nicole,Déléguée générale de la Fédération des Maires des villes moyennes (FMVM),Les élus locaux des villes moyennes centres de 20 000 à 100 000 habitants les présidents des structures communales intégrant une ville moyenne,F
FEDERATION DU NEGOCE AGRICOLE,Organisation professionnelle,PICARDAT-POUPARDIN,Sébatsien,"Direction générale, rattaché au Président",Entreprises de négoce agricole (commerce des grains et distribution - conseil en agrofournitures),H
FEDERATION DU NEGOCE DE BOIS ET DES MATERIAUX DE CONSTRUCTION,Organisation professionnelle,MARTIN SAINT LEON,Laurent,Délégué général - Direction générale,"Défense des intérêts et représentation des entreprises du négoce de bois et des matériaux de construction : Point P, Gadimat, CRM Distribution, Wolseley, Bigmat, Stormat, France Matériaux, Matnor, Tout Faire, Batiland, Nebgram, Sylvalliance, Accueil Négoce, BDN, Fransbonhomme",H
FEDERATION FRANCAISE DE LA DISTRIBUTION DES METAUX,Organisation professionnelle,JULIEN-VAUZELLE,Michel,Direction générale,Adhérents de la F.F.D.M. ,H
FEDERATION FRANCAISE DES INDUSTRIES DE SANTE - FEFIS,Organisation professionnelle,FAVRE,Pascal,Secrétaire général,"FEDERATION FRANCAISE DES INDUSTRIES DE SANTE - FEFIS La FEFIS fédère 12 syndicats professionnels dont les adhérents qui créent, fabriquent ou distribuent des produits de santé tels que les médicaments humains et vétérinaires, les dispositifs médicaux, les produits d'optique, les produits dentaires ; représente plus de 1000 entreprises",H
FEDERATION FRANÇAISE DES SOCIETES D'ASSURANCE,Organisation professionnelle,LABORDE,Jean-Paul,Directeur des affaires parlementaires,FEDERATION FRANÇAISE DES SOCIETES D'ASSURANCE (FFSA),H
FEDERATION FRANÇAISE DU BATIMENT,Organisation professionnelle,VANSTAVEL,Benoît,"Responsable des relations avec le Parlement, rattaché à la direction générale",Fédération française du bâtiment (FFB),H
FEDOM,Organisation professionnelle,BADAT-KARAM,Samia,Directrice des affaires publiques,"FEDOM - promotion du développement économique et social des territoires français d'outre mer, par ses études, ses propositions, ses actions de sensibilisation et d'information. Elle regroupe les organisations professionnelles de chaque collectivité : MEDEF, MPI, CCI, fédérations professionnelles (BTP, tourisme, distribution) et les entreprises ou organismes ayant des liens étroits avec l'outre-mer. ",F
FEHAP,Organisation professionnelle,CHABBAL,Jeanne,"Responsable affaires publiques, rattachée au Secrétaire général de la FEHAP",Fédération des établissements hospitaliers et d'aide à la personne privée non lucratifs (FEHAP),F
FEVIS,Association,HEDIN,Marie,Chargée de mission,Fédération des ensembles vocaux et instrumentaux spécialisés (FEVIS),F
FF3C,Organisation professionnelle,PLAN,Frédéric,Délégué général,Fédération des combustibles carburants et chauffage (FF3C),H
FFCB,Organisation professionnelle,BEYLER,Hugues,Directeur,FFCB (Fédération française des commerçants en bestiaux),H
FGAO,Personne morale de droit privé,AUROUSSEAU PERRIN,Yolaine,Directrice des relations institutionnelles et de la Prévention - membre du comité de direction,Fonds de garantie des assurances obligatoires de dommages (FGAO) Fonds de garantie des victimes d'actes de terrorisme et d'autres infractions,F
FIEEC,Organisation professionnelle,COX,Léonard,Directeur délégué - Délégation générale,"Fédération des industries électriques, électroniques et de communication (FIEEC) - 29 syndicats, 3000 entreprises, 420 000 salariés, 100 milliards CA",H
FIEV (FÉDÉRATION DES INDUSTRIES D'ÉQUIPEMENTS POUR VÉHICULES),Organisation professionnelle,ARONICA,Charles,Responsable juridique rattaché au vice-président en charge des opérations,Fédération des industries des équipements pour véhicules (FIEV) Syndicat des fabricants d'équipements et de pièces pour automobiles (SFEPA),H
FON KUM GILBERT CONSULTING,Société de conseil,KUM,Ekia Gilbert,Présidence,FON KUM GILBERT CONSULTING,H
FONDATION IFRAP,fondation reconnue d'utilité publique,VERDIER-MOLINIE,Agnès,Directeur,"Fondation iFRAP (institut français pour la recherche sur les administrations et les politiques publiques), fondation reconnue d'utilité publique par décret du premier ministre en conseil d'état (JO du 19/11/2009)",F
FORCE OUVRIERE,Organisation professionnelle,GIRONDE,Jean-Luc,Attaché de presse du Secrétaire Général,Confédération Force Ouvrière,H
FRANCE ENERGIE EOLIENNE,Organisation professionnelle,BLUTEAU,Julien,Chargé des affaires publiques,FRANCE ENERGIE EOLIENNE,H
FRANCE ENERGIE NOUVELLE,Association,GAUBERT,Agnès,Vice-présidente,"Start-up et PME-PMI des cleantech (environnement, développement durable, énergie)",F
FRANCE NATURE ENVIRONNEMENT,Association,PIEDERRIERE,Morgane,Attachée de direction fédérale chargée des relations institutionnelles,Association France Nature Environnement,F
FRANCE TELEVISIONS,Organisme public,GRAND D'ESNON,Anne,Directrice des relations institutionnelles de France Télévision (rattachement secrétaire général),"Groupe France Télévisions (F2, F3, F4, FR, RFO)",F
FÉDÉRATION BANCAIRE FRANÇAISE,Organisation professionnelle,DE COMPREIGNAC,Séverine,"Responsable des relations institutionnelles, direction de la communication",L'ensemble des banques françaises représentées sur le territoire,F
FÉDÉRATION DES ENSEIGNES DU COMMERCE ASSOCIÉ,Organisation professionnelle,SOUILLEAUX,Alain,Responsable des affaires juridiques et européennes,"Organisation professionnelle représentant 130 enseignes dans 30 secteurs, 30 200 entrepreneurs. 40 000 points de vente. ",H
FÉDÉRATION EAF,Organisation professionnelle,DOUMERC,Charles-Henri,Chargée de mission auprès du Secrétaire général,Fédération EAF (électricité Autonome française),H
FÉDÉRATION FRANÇAISE DE LA CARROSSERIE,Organisation professionnelle,MARCOT,Sandrine,Directeur général,Fédération française de la carrosserie,F
FÉDÉRATION FRANÇAISE DES MASSEURS KINÉSITHÉRAPEUTES RÉÉDUCATEURS (FFMKR),Organisation professionnelle,PERNOT,Cyrille,Responsable des relations institutionnelles et de la communication (rattaché au président),Fédération française des masseurs-kinésithérapeutes rééducateurs (FFMKR),H
FÉDÉRATION FRANÇAISE DES TÉLÉCOMS,Association,LAVALLADE,Pierre-Yves,Directeur général adjoint en charge des relations avec le Parlement et les collectivités territoriales (rattachement : direction générale),Sociétés adhérentes de la FFT: France Télécom / Orange ; SFR ; Bouygues Télécom ; AFORST ; Colt France ; NRJ Mobile ; La Poste Mobile ; MG Mobile ; Prosodie ; Oméa Télécom ; Wifrist et Atos Worldline,H
FÉDÉRATION FRANÇAISE DES VINS D'APÉRITIFS,Organisation professionnelle,VEREECKEN,Jean-Jacques,Directeur,Fédération Française des Vins d'Apéritif,H
FÉDÉRATION NATIONALE DE L'IMMOBILIER,Organisation professionnelle,LIDY-BASSET,Laurence,Directeur des relations institutionnelles,Fédération nationale de l'immobilier,F
FÉDÉRATION NATIONALE DE LA MUTUALITÉ FRANÇAISE,Organisation professionnelle,FIGUREAU,Vincent,Responsable du département des relations extérieures (au sein de la direction des affaires publiques - DAP),Mutualité française (Fédération nationale de la Mutualité française - FNMF),H
"FÉDÉRATION NATIONALE DES DISTRIBUTEURS, LOUEURS ET RÉPARATEURS DE MATÉRIELS DE BTP ET DE MANUTENTION",Organisation professionnelle,REBOLLO ,Hervé,Secrétaire général,"D.L.R. - Fédération nationale des distributeurs, loueurs et réparateurs de matériels de BTP et de manutention",H
FÉDÉRATION NATIONALE DES SCOT,Association,STREBLER,Jean-Philippe,Directeur,Fédération nationale des SCoT (schémas de cohérence territoriale),H
FÉDÉRATION NATIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES,Organisation professionnelle,NORMAND,Nadine,Chargée des relations avec le Parlement à la Direction générale de la FNSEA,FNSEA,F
FÉDÉRATION NATIONALE DU CRÉDIT AGRICOLE,Association,CADORET,Jean-Louis,Chargé des relations avec l'Assemblée nationale au Secrétariat fédéral,Fédération nationale du Crédit Agricole (FNCA) ,H
FÉDÉRATION PROFESSIONNELLE DES ENTREPRISES DE L'EAU,Fédération professionelle,MATHIEU,Tristan,Délégué général,Fédération professionnelle des entreprises de l'eau,H
G-NOVA,Association,ARTUSIO,Lionel,vice-président en charge des relations institutionnelles,"Groupe de réflexions (loi 1901) - commission ""NTIC et société numérique"" - commission ""défense, sécurité et enjeux internationaux"" - commission ""monde de l'entreprise et innovation""",H
